I	F	T
616924	486.99	246
218748	513.54	466
470359	496.62	530
348126	500.29	510
721452	472.53	450
182508	516.11	794
645688	526.15	734
951725	522.58	910
860849	510.64	686
68669	563.91	570
158328	504.83	354
160277	501.55	470
377381	537.66	542	
543556	518.34	518
18277	549.02	570
878319	569.77	718
469023	488.16	606
254559	453.63	482
647916	511.52	530
114858	540.19	810
468315	496.81	274
374854	510.61	466
385782	511.15	506
265799	487.83	398
912111	522.88	598
693056	533.94	546
368088	528.56	482
469899	505.29	566
654487	505.07	502
484892	536.47	606
260577	509.8	814
38399	519.82	522
843419	524.51	662
196846	545.92	562
811619	506.44	398
857184	515.17	474
252103	524.15	646
410021	505.22	574
313594	512.9	474
41505	496.66	434
769421	484.8	514
958813	514.91	578
560006	485.48	590
208562	505.92	394
796144	455.92	458
587017	495.23	454
401387	492.2	514
361395	491.69	494
42947	506.77	798
860187	529.9	542
594825	530.61	610
241829	539.94	534
370371	533.43	454
350992	527.59	654
434849	505.41	710
219680	521.27	566
235062	440.35	454
983230	553.69	618
678539	522.85	670
769765	543.15	690
512518	516.76	522
881760	493.88	530
714430	500.96	518
31940	492.04	490
78784	540.59	758
909866	530.61	666
91317	488.0	474
125264	503.58	546
415821	499.06	306
390350	523.24	666
800283	524.33	782
97826	574.8	654
221292	507.93	362
765211	539.5	518
582609	497.87	290
450605	508.81	558
440638	489.17	422
473237	523.55	694
166436	520.23	446
754169	549.15	662
344541	511.42	478
801608	480.97	374
954344	482.91	318
120318	546.11	478
686165	532.56	614
625291	531.47	642
467644	553.75	670
531720	468.67	470
894596	470.64	326
18793	509.06	534
301699	493.6	534
20801	535.53	582
345967	512.38	410
728240	508.34	466
985822	514.15	614
204506	427.05	370
790605	448.17	334
259435	474.54	414
964923	497.19	406
991052	500.57	346
321690	545.05	686
405255	489.26	442
155447	530.66	622
388325	520.26	566
138445	497.1	566
309260	497.17	354
171630	507.38	490
697390	524.09	562
813524	488.55	430
934215	482.07	438
45854	504.56	566
44121	510.39	274
706935	524.64	726
72421	559.67	510
882418	501.16	366
243769	527.67	558
866265	537.63	518
570513	487.52	478
928103	478.75	334
811604	519.7	498
179546	436.8	318
969058	465.64	458
617816	491.16	502
334838	472.03	370
784184	500.05	558
388566	535.33	678
702812	534.73	578
912143	536.58	646
992553	445.81	506
511395	493.46	338
678830	489.78	430
399926	523.5	578
652959	494.55	574
947829	527.25	682
744173	530.07	586
681116	569.41	746
852876	542.62	498
965007	439.91	438
148104	519.15	630
941960	531.63	658
232713	497.44	438
413119	527.04	706
929353	535.33	646
546787	537.02	698
922934	451.53	494
905172	519.67	526
472954	537.97	498
947818	518.7	818
13944	531.06	626
719634	476.76	414
10564	523.34	574
757268	521.23	674
296091	486.89	306
367712	526.02	550
998645	532.52	686
438074	482.52	426
853992	549.34	562
521809	509.27	290
555742	494.85	426
884203	528.05	502
130097	466.87	526
277483	541.01	626
155679	532.03	514
394880	533.11	610
34901	523.46	642
105741	553.45	818
776057	508.79	514
328552	488.19	438
715310	508.25	498
916179	496.89	322
655365	511.21	466
274168	503.69	562
574271	473.98	330
943218	537.58	590
642348	497.04	302
542827	498.6	502
647253	489.7	410
861414	476.56	490
241465	527.79	550
406524	487.99	186
363823	487.95	310
346354	521.04	598
954694	511.04	630
690235	532.42	522
98002	514.23	526
782375	550.41	518
